Chr1:3631-5899	AT1G01010.1
Chr1:28544454-28544853	AT1G76062.1
Chr1:28546382-28547611	AT1G76070.1
Chr1:28547786-28549419	AT1G76080.1
Chr1:28550409-28551781	AT1G76090.1
Chr1:28551735-28551780	AT1TE93400
Chr1:28551781-28552561	AT1TE93405
Chr1:28552562-28552659	AT1TE93410
Chr1:28553987-28554768	AT1G76100.1
Chr1:28555042-28557586	AT1G76110.1
Chr1:28557573-28558097	AT1TE93420
Chr1:28558670-28560473	AT1G76120.1
Chr1:28561281-28564076	AT1G76130.1
Chr1:28568808-28568928	AT1G76135.1
Chr1:28571130-28575036	AT1G76140.1
Chr1:28574740-28577700	AT1G76150.1
Chr1:28577942-28581133	AT1G76160.1
Chr1:28581242-28581301	AT1TE93500
Chr1:28581302-28581356	AT1TE93505
Chr1:28581357-28582297	AT1TE93510
Chr1:28582298-28582442	AT1TE93515
Chr1:28582443-28582669	AT1TE93520
Chr1:28584039-28586225	AT1G76170.1
Chr1:28586773-28587877	AT1G76180.1
Chr1:28590325-28591518	AT1G76185.1
Chr1:28592225-28592596	AT1G76190.1
Chr1:28593250-28594742	AT1G76200.1
Chr1:28594950-28595981	AT1G76210.1
Chr1:28597530-28598300	AT1G76220.1
Chr1:28599760-28600442	AT1G76230.1
Chr1:28602811-28603929	AT1G76240.1
Chr1:28606450-28609128	AT1G76250.1
Chr1:28610265-28613263	AT1G76260.1
Chr1:28613207-28616739	AT1G76270.1
Chr1:28617902-28622601	AT1G76280.3
Chr1:28623443-28625408	AT1G76290.1
Chr1:28625884-28627367	AT1G76300.1
Chr1:28628046-28630394	AT1G76310.1
Chr1:28631239-28634124	AT1G76320.1
Chr1:28634692-28634773	AT1G76330.1
Chr1:28634955-28636716	AT1G76340.1
Chr1:28639577-28643086	AT1G76350.1
Chr1:28643038-28646712	AT1G76360.1
Chr1:28648449-28650484	AT1G76370.1
Chr1:28651154-28654577	AT1G76380.2
Chr1:28655399-28658711	AT1G76390.1
Chr1:28658554-28661710	AT1G76400.1
Chr1:28661884-28663789	AT1G76405.2
Chr1:28668848-28669646	AT1G76410.1
Chr1:28672029-28673934	AT1G76420.1
Chr1:28678935-28681995	AT1G76430.1
Chr1:28682147-28683750	AT1G76440.1
Chr1:28684072-28684536	AT1TE93850
Chr1:28684551-28686244	AT1G76450.1
Chr1:28686181-28689121	AT1G76460.1
Chr1:28689770-28691449	AT1G76470.1
Chr1:28692076-28693428	AT1G76480.2
Chr1:28695760-28698793	AT1G76490.1
Chr1:28703055-28703305	AT1TE93910
Chr1:28703306-28704766	AT1TE93915
Chr1:28704767-28704848	AT1TE93920
Chr1:28705527-28706562	AT1G76500.1
Chr1:28708614-28712948	AT1G76510.3
Chr1:28715078-28717416	AT1G76520.1
Chr1:28718213-28720371	AT1G76530.1
Chr1:28720328-28722521	AT1G76540.1
Chr1:28722702-28727006	AT1G76550.1
Chr1:28728253-28728853	AT1G76560.1
Chr1:28729132-28730825	AT1G76570.1
Chr1:28734234-28738917	AT1G76580.1
Chr1:28740691-28742207	AT1G76590.1
Chr1:28746888-28747845	AT1G76600.1
Chr1:28749937-28750178	AT1TE94070
Chr1:28750988-28751851	AT1G76610.1
Chr1:28756521-28759297	AT1G76620.1
Chr1:28759699-28765042	AT1G76630.2
Chr1:28765324-28765803	AT1G76640.1
Chr1:28766750-28767517	AT1G76650.1
Chr1:28768879-28771409	AT1G76660.1
Chr1:28772600-28774901	AT1G76670.1
Chr1:28776861-28778467	AT1G76680.2
Chr1:28778890-28780483	AT1G76690.1
Chr1:28780408-28783248	AT1G76700.1
Chr1:28785405-28786355	AT1TE94190
Chr1:28786356-28786386	AT1TE94195
Chr1:28786450-28787328	AT1G76705.1
Chr1:28788493-28789862	AT1TE94200
Chr1:28789729-28792676	AT1G76710.1
Chr1:28793352-28793442	AT1TE94210
Chr1:28794144-28800369	AT1G76720.1
Chr1:28798833-28799273	AT1TE94220
Chr1:28800605-28800943	AT1TE94225
Chr1:28801929-28802539	AT1TE94230
Chr1:28802540-28802573	AT1TE94235
Chr1:28802633-28802734	AT1G76728.1
Chr1:28802925-28804784	AT1G76730.1
Chr1:28805235-28810557	AT1G76740.1
Chr1:28811040-28811721	AT1G76750.1
Chr1:28811685-28813070	AT1G76760.1
Chr1:28813569-28814378	AT1G76770.1
Chr1:28813977-28814284	AT1TE94270
Chr1:28815350-28815416	AT1TE94275
Chr1:28816641-28822256	AT1G76780.1
Chr1:28817138-28817562	AT1TE94280
Chr1:28817934-28818873	AT1TE94285
Chr1:28821833-28822159	AT1TE94290
Chr1:28822186-28823673	AT1G76790.1
Chr1:28827195-28827347	AT1TE94300
Chr1:28827348-28829167	AT1TE94305
Chr1:28829308-28830277	AT1G76800.1
Chr1:28831003-28836586	AT1G76810.1
Chr1:28836494-28836646	AT1TE94320
Chr1:28837573-28842566	AT1G76820.1
Chr1:28842889-28842979	AT1TE94340
Chr1:28844644-28845765	AT1G76830.1
Chr1:28846566-28847288	AT1G76840.1
Chr1:28847951-28854499	AT1G76850.1
Chr1:28854414-28855750	AT1G76860.1
Chr1:28856118-28856877	AT1TE94380
Chr1:28857250-28858407	AT1G76870.1
Chr1:28863666-28863785	AT1TE94400
Chr1:28863786-28865139	AT1TE94405
Chr1:28865140-28865191	AT1TE94410
Chr1:28865395-28865573	AT1TE94415
Chr1:28865500-28868225	AT1G76880.1
Chr1:28866404-28867969	AT1G76878.1
Chr1:28873059-28875292	AT1G76890.2
Chr1:28873271-28874758	AT1G76892.1
Chr1:28882040-28884545	AT1G76900.1
Chr1:28887218-28888104	AT1G76910.1
Chr1:28887242-28887982	AT1G76911
Chr1:28891260-28891328	AT1TE94490
Chr1:28891348-28891935	AT1TE94495
Chr1:28891936-28892124	AT1TE94500
Chr1:28892062-28893676	AT1G76920.1
Chr1:28895301-28896883	AT1G76930.1
Chr1:28902428-28904311	AT1G76940.1
Chr1:28906523-28911564	AT1G76950.1
Chr1:28912664-28913670	AT1TE94570
Chr1:28914284-28914952	AT1G76952.1
Chr1:28917866-28918537	AT1G76954.1
Chr1:28918810-28919545	AT1G76955.1
Chr1:28920457-28920956	AT1G76960.1
Chr1:28921729-28922292	AT1G76965.1
Chr1:28922666-28925404	AT1G76970.1
Chr1:28926366-28927339	AT1G76980.1
Chr1:28927729-28928127	AT1TE94620
Chr1:28928128-28928223	AT1TE94625
Chr1:28932162-28935539	AT1G76990.1
Chr1:28935708-28936420	AT1TE94640
Chr1:28937637-28937798	AT1G76994.1
Chr1:28940750-28942596	AT1G77000.1
Chr1:28942710-28944797	AT1G77010.1
Chr1:28944843-28947031	AT1G77020.1
Chr1:28947554-28947625	AT1G77040.1
Chr1:28947743-28951599	AT1G77030.1
Chr1:28951685-28953509	AT1G77060.1
Chr1:28955637-28960096	AT1G77080.4
Chr1:28960387-28961922	AT1G77090.1
Chr1:28962508-28963149	AT1G77093.1
Chr1:28964016-28965367	AT1G77095.1
Chr1:28964188-28964630	AT1TE94730
Chr1:28965772-28967066	AT1G77100.1
Chr1:28970802-28974603	AT1G77110.1
Chr1:28973731-28974030	AT1TE94760
Chr1:28975394-28977417	AT1G77120.1
Chr1:28977357-28978743	AT1G77122.1
Chr1:28978894-28981345	AT1G77130.1
Chr1:28981414-28983463	AT1G77131
Chr1:28982766-28983469	AT1G77138.1
Chr1:28984025-28987983	AT1G77140.1
Chr1:28989927-28991346	AT1G77145.1
Chr1:28992876-28993170	AT1G77150.1
Chr1:28994619-28994720	AT1TE94830
Chr1:28995146-28996594	AT1G77160.1
Chr1:28998047-28999537	AT1G77170.1
Chr1:28999608-29002135	AT1G77180.1
Chr1:29002205-29002286	AT1G77190.1
Chr1:29004357-29005091	AT1G77200.1
Chr1:29008939-29012096	AT1G77210.1
Chr1:29012717-29015803	AT1G77220.1
Chr1:29015882-29015953	AT1TE94900
Chr1:29016120-29019768	AT1G77230.1
Chr1:29016520-29016828	AT1G77235.1
Chr1:29017958-29019789	AT1G77240.1
Chr1:29020265-29023474	AT1G77250.1
Chr1:29023772-29026957	AT1G77260.1
Chr1:29027778-29031285	AT1G77270.1
Chr1:29031468-29035882	AT1G77280.1
Chr1:29035073-29035448	AT1TE94960
Chr1:29038375-29039838	AT1G77290.1
Chr1:29039922-29049302	AT1G77300.1
Chr1:29051505-29056339	AT1G77310.1
Chr1:29056532-29062966	AT1G77320.1
Chr1:29062990-29064537	AT1G77330.1
Chr1:29064539-29065221	AT1TE95060
Chr1:29068343-29069828	AT1G77340.1
Chr1:29070289-29071899	AT1G77350.1
Chr1:29071983-29073536	AT1G77360.1
Chr1:29073843-29074796	AT1G77370.1
Chr1:29074888-29077390	AT1G77380.1
Chr1:29078381-29079012	AT1TE95100
Chr1:29079013-29079151	AT1TE95105
Chr1:29081904-29084285	AT1G77390.1
Chr1:29085811-29086864	AT1G77400.1
Chr1:29087145-29088521	AT1G77405.1
Chr1:29088697-29093264	AT1G77410.1
Chr1:29093499-29095716	AT1G77420.1
Chr1:29096235-29098393	AT1G77440.1
Chr1:29099954-29101261	AT1G77450.1
Chr1:29103763-29111921	AT1G77460.1
Chr1:29111948-29114435	AT1G77470.1
Chr1:29114558-29117338	AT1G77480.1
Chr1:29117542-29120215	AT1G77490.1
Chr1:29117636-29117868	AT1TE95230
Chr1:29121489-29125191	AT1G77500.1
Chr1:29125135-29125353	AT1TE95250
Chr1:29125354-29125901	AT1TE95255
Chr1:29125902-29126187	AT1TE95260
Chr1:29126650-29129612	AT1G77510.1
Chr1:29130403-29132180	AT1G77520.1
Chr1:29133954-29134531	AT1G77525.1
Chr1:29134223-29134249	AT1TE95290
Chr1:29134250-29135462	AT1TE95295
Chr1:29135463-29135661	AT1TE95300
Chr1:29136037-29137555	AT1G77530.1
Chr1:29137626-29138212	AT1G77540.1
Chr1:29138299-29143011	AT1G77550.1
Chr1:29143090-29143161	AT1G77560.1
Chr1:29143350-29144003	AT1G77570.1
Chr1:29144027-29147584	AT1G77580.2
Chr1:29148256-29152315	AT1G77590.1
Chr1:29152751-29162448	AT1G77600.3
Chr1:29165210-29167773	AT1G77610.1
Chr1:29167764-29172867	AT1G77620.1
Chr1:29173457-29175530	AT1G77630.1
Chr1:29177413-29178148	AT1TE95440
Chr1:29178737-29179675	AT1G77640.1
Chr1:29180155-29180294	AT1TE95445
Chr1:29180295-29181036	AT1TE95450
Chr1:29181037-29181061	AT1TE95455
Chr1:29181062-29181081	AT1TE95460
Chr1:29181110-29182261	AT1G77650.1
Chr1:29182608-29183172	AT1G77655.1
Chr1:29185899-29187825	AT1G77660.1
Chr1:29188901-29190975	AT1G77670.1
Chr1:29191834-29196287	AT1G77680.1
Chr1:29196543-29197071	AT1G77682.1
Chr1:29200941-29203340	AT1G77690.1
Chr1:29201456-29201624	AT1TE95530
Chr1:29204747-29206217	AT1G77700.1
Chr1:29206635-29208145	AT1G77710.1
Chr1:29207931-29208023	AT1TE95550
Chr1:29208024-29208346	AT1TE95555
Chr1:29210521-29214087	AT1G77720.1
Chr1:29214445-29215564	AT1G77730.1
Chr1:29220538-29224220	AT1G77740.1
Chr1:29227915-29228088	AT1G77746.1
Chr1:29228168-29228331	AT1TE95620
Chr1:29230154-29231524	AT1G77750.1
Chr1:29235803-29239445	AT1G77760.1
Chr1:29243897-29244136	AT1TE95670
Chr1:29244137-29244718	AT1TE95675
Chr1:29244719-29244808	AT1TE95680
Chr1:29245050-29246237	AT1G77765.4
Chr1:29246074-29248022	AT1G77770.1
Chr1:29248300-29249528	AT1G77780.1
Chr1:29250692-29251976	AT1G77790.1
Chr1:29253396-29260617	AT1G77800.1
Chr1:29260562-29263113	AT1G77810.1
Chr1:29263348-29263650	AT1G77815.1
Chr1:29263663-29264268	AT1G77820.1
Chr1:29263871-29264177	AT1TE95740
Chr1:29267160-29267752	AT1G77830.1
Chr1:29268487-29270586	AT1G77840.1
Chr1:29272313-29275419	AT1G77850.1
Chr1:29277166-29278518	AT1G77855.1
Chr1:29277381-29277585	AT1TE95780
Chr1:29282643-29284458	AT1G77860.1
Chr1:29285078-29285889	AT1G77870.1
Chr1:29286675-29287067	AT1G77880.1
Chr1:29287325-29287684	AT1TE95810
Chr1:29289873-29290915	AT1G77885.1
Chr1:29292123-29296160	AT1G77890.1
Chr1:29296138-29296407	AT1G77910.1
Chr1:29298243-29300863	AT1G77920.1
Chr1:29301000-29302639	AT1G77930.1
Chr1:29302725-29303519	AT1G77932.1
Chr1:29303897-29305382	AT1G77940.1
Chr1:29306957-29309863	AT1G77950.1
Chr1:29310057-29313571	AT1G77960.1
Chr1:29313017-29313049	AT1TE95890
Chr1:29313050-29313596	AT1TE95895
Chr1:29313597-29313649	AT1TE95900
Chr1:29314841-29317067	AT1G77980.1
Chr1:29317899-29323352	AT1G77990.1
Chr1:29319211-29319629	AT1TE95910
Chr1:29319630-29320701	AT1TE95915
Chr1:29320702-29320750	AT1TE95920
Chr1:29320756-29320777	AT1TE95925
Chr1:29322411-29323358	AT1G77992.1
Chr1:29323248-29324191	AT1TE95930
Chr1:29329735-29333146	AT1G78000.1
Chr1:29333500-29336451	AT1G78010.1
Chr1:29338693-29339755	AT1G78020.1
Chr1:29339656-29340708	AT1TE95980
Chr1:29342157-29343824	AT1G78030.1
Chr1:29342234-29342365	AT1TE95985
Chr1:29342803-29343130	AT1TE95990
Chr1:29345838-29347107	AT1G78040.1
Chr1:29347581-29349755	AT1G78050.1
Chr1:29349679-29352924	AT1G78060.1
Chr1:29352929-29353152	AT1TE96020
Chr1:29353153-29353514	AT1TE96025
Chr1:29355022-29358993	AT1G78070.1
Chr1:29361839-29362181	AT1TE96050
Chr1:29363204-29364071	AT1TE96055
Chr1:29364072-29364104	AT1TE96060
Chr1:29364249-29366073	AT1G78080.1
Chr1:29373889-29376504	AT1G78090.1
Chr1:29377752-29380183	AT1G78095.1
Chr1:29377753-29379561	AT1TE96100
Chr1:29387795-29389112	AT1G78100.1
Chr1:29391827-29393334	AT1G78110.1
Chr1:29393939-29396086	AT1G78120.1
Chr1:29400140-29401902	AT1G78130.1
Chr1:29401759-29403946	AT1G78140.1
Chr1:29404880-29406374	AT1G78150.3
Chr1:29407900-29410184	AT1G78160.1
Chr1:29414059-29415094	AT1G78170.1
Chr1:29415530-29415921	AT1G78172.1
Chr1:29416913-29418640	AT1G78180.1
Chr1:29418620-29418994	AT1G78190.1
Chr1:29420355-29421864	AT1G78200.1
Chr1:29422452-29422574	AT1G78206.1
Chr1:29422716-29424375	AT1G78210.1
Chr1:29425721-29427181	AT1G78220.1
Chr1:29430225-29432764	AT1G78230.1
Chr1:29432829-29436484	AT1G78240.1
Chr1:29443973-29444010	AT1G78250.1
Chr1:29445154-29445223	AT1TE96320
Chr1:29446985-29450515	AT1G78260.1
Chr1:29450563-29452417	AT1G78270.1
Chr1:29450772-29452305	AT1G78265.1
Chr1:29450816-29452378	AT1G78265.2
Chr1:29452555-29457373	AT1G78280.1
Chr1:29457205-29459142	AT1G78290.2
Chr1:29461671-29463385	AT1G78300.1
Chr1:29463656-29465053	AT1G78310.1
Chr1:29465027-29465465	AT1TE96390
Chr1:29467437-29468374	AT1G78320.1
Chr1:29468545-29468578	AT1TE96400
Chr1:29468579-29470238	AT1TE96405
Chr1:29469848-29471958	AT1G78330
Chr1:29470239-29470293	AT1TE96410
Chr1:29470295-29470325	AT1TE96415
Chr1:29472892-29473863	AT1G78340.1
Chr1:29474555-29479485	AT1TE96425
Chr1:29474914-29478272	AT1G78350.1
Chr1:29478504-29479108	AT1G78355.1
Chr1:29479487-29479536	AT1TE96430
Chr1:29480214-29480347	AT1TE96435
Chr1:29482070-29482966	AT1G78360.1
Chr1:29484269-29485290	AT1G78370.1
Chr1:29486413-29487906	AT1G78380.1
Chr1:29489989-29490162	AT1TE96460
Chr1:29490895-29492875	AT1G78390.1
Chr1:29498281-29499682	AT1G78400.1
Chr1:29502582-29503241	AT1G78410.1
Chr1:29504533-29507486	AT1G78420.1
Chr1:29508959-29510895	AT1G78430.1
Chr1:29511599-29513051	AT1G78440.1
Chr1:29516989-29517933	AT1G78450.1
Chr1:29518316-29519323	AT1G78460.1
Chr1:29521770-29523191	AT1G78470.1
Chr1:29523243-29523790	AT1TE96570
Chr1:29523982-29526284	AT1G78476.1
Chr1:29525194-29525294	AT1G78478.1
Chr1:29525501-29526363	AT1G78480.1
Chr1:29526420-29527089	AT1TE96575
Chr1:29527369-29527656	AT1TE96580
Chr1:29528253-29530665	AT1G78490.1
Chr1:29531646-29535177	AT1G78500.1
Chr1:29535285-29537417	AT1G78510.1
Chr1:29537976-29538656	AT1G78520.1
Chr1:29539089-29540709	AT1G78530.1
Chr1:29541011-29544777	AT1G78540.2
Chr1:29544927-29546487	AT1G78550.1
Chr1:29546605-29548824	AT1G78560.1
Chr1:29549649-29552438	AT1G78570.1
Chr1:29552340-29560912	AT1G78580.1
Chr1:29564249-29566375	AT1G78590.1
Chr1:29567106-29568815	AT1G78600.2
Chr1:29569030-29572126	AT1G78610.1
Chr1:29572871-29575794	AT1G78620.2
Chr1:29575956-29577658	AT1G78630.1
Chr1:29578071-29578609	AT1TE96750
Chr1:29579715-29581988	AT1G78640.1
Chr1:29582929-29585641	AT1G78650.1
Chr1:29585811-29588302	AT1G78660.1
Chr1:29588228-29588826	AT1TE96780
Chr1:29590945-29593499	AT1G78670.1
Chr1:29593781-29596270	AT1G78680.1
Chr1:29596655-29598629	AT1G78690.1
Chr1:29599349-29601682	AT1G78700.1
Chr1:29602708-29604557	AT1G78710.1
Chr1:29604582-29605310	AT1TE96830
Chr1:29605629-29607510	AT1G78720.1
Chr1:29607689-29609441	AT1G78730.1
Chr1:29610494-29611492	AT1G78740.1
Chr1:29611562-29611719	AT1TE96850
Chr1:29611750-29612226	AT1TE96855
Chr1:29612248-29612406	AT1TE96860
Chr1:29613122-29614695	AT1G78750.1
Chr1:29615174-29616738	AT1G78760.1
Chr1:29616919-29621447	AT1G78770.1
Chr1:29621340-29622447	AT1G78780.2
Chr1:29623529-29625078	AT1G78790.1
Chr1:29625659-29627989	AT1G78800.1
Chr1:29628269-29630553	AT1G78810.1
Chr1:29631743-29632745	AT1G78815.1
Chr1:29634124-29635813	AT1G78820.1
Chr1:29636955-29638552	AT1G78830.1
Chr1:29639290-29640817	AT1G78840.1
Chr1:29641722-29641827	AT1TE96960
Chr1:29641926-29643431	AT1G78850.1
Chr1:29646168-29647499	AT1G78860.1
Chr1:29647738-29649951	AT1G78865.1
Chr1:29650463-29652517	AT1G78870.1
Chr1:29652633-29655949	AT1G78880.1
Chr1:29652633-29655949	AT1G78882.1
Chr1:29656577-29658065	AT1G78890.1
Chr1:29658116-29659976	AT1G78895.1
Chr1:29660184-29664951	AT1G78900.1
Chr1:29665218-29667656	AT1G78910.1
Chr1:29667685-29671341	AT1G78915.3
Chr1:29671493-29676992	AT1G78920.1
Chr1:29676755-29677815	AT1G78922.1
Chr1:29678097-29680757	AT1G78930.1
Chr1:29680822-29684161	AT1G78940.2
Chr1:29684432-29688673	AT1G78950.1
Chr1:29689153-29694255	AT1G78955.1
Chr1:29696470-29701263	AT1G78960.1
Chr1:29702604-29702747	AT1TE97160
Chr1:29703340-29707844	AT1G78970.2
Chr1:29707687-29711421	AT1G78980.1
Chr1:29711889-29712356	AT1TE97190
Chr1:29713531-29714969	AT1G78990.1
Chr1:29715079-29716111	AT1G78995.1
Chr1:29716350-29724531	AT1G79000.2
Chr1:29724879-29727028	AT1G79010.1
Chr1:29727123-29730431	AT1G79020.1
Chr1:29730767-29733611	AT1G79030.1
Chr1:29736016-29737009	AT1G79040.1
Chr1:29736961-29740179	AT1G79050.1
Chr1:29741748-29743600	AT1G79060.1
Chr1:29744670-29745815	AT1G79070.1
Chr1:29745939-29746842	AT1G79075.1
Chr1:29746013-29746816	AT1G79075.2
Chr1:29746972-29748944	AT1G79080.1
Chr1:29749127-29753307	AT1G79090.1
Chr1:29753648-29754388	AT1G79100.1
Chr1:29759158-29760691	AT1G79110.1
Chr1:29761175-29761713	AT1TE97350
Chr1:29764089-29768789	AT1G79120.1
Chr1:29770547-29771233	AT1TE97380
Chr1:29771278-29771887	AT1G79130.1
Chr1:29772588-29777989	AT1G79150.1
Chr1:29774154-29774231	AT1TE97385
Chr1:29774232-29775138	AT1TE97390
Chr1:29775140-29775165	AT1TE97395
Chr1:29779721-29780773	AT1G79160.1
Chr1:29782273-29782622	AT1G79170.1
Chr1:29782344-29782593	AT1TE97410
Chr1:29786495-29787802	AT1G79180.1
Chr1:29788639-29794175	AT1G79190.1
Chr1:29794387-29796040	AT1G79200.1
Chr1:29796081-29798783	AT1G79210.1
Chr1:29798935-29800525	AT1G79220.1
Chr1:29800693-29803939	AT1G79230.1
Chr1:29804123-29804195	AT1G79240.1
Chr1:29804735-29809514	AT1G79245
Chr1:29809840-29810044	AT1TE97500
Chr1:29810134-29812218	AT1G79250.1
Chr1:29813244-29814309	AT1G79260.1
Chr1:29815506-29819104	AT1G79270.1
Chr1:29819142-29833016	AT1G79280.2
Chr1:29833117-29833188	AT1G79290.1
Chr1:29833718-29833789	AT1G79300.1
Chr1:29833921-29835545	AT1G79310.1
Chr1:29836686-29837908	AT1G79320.1
Chr1:29838653-29840137	AT1G79330.1
Chr1:29840106-29840234	AT1TE97600
Chr1:29840235-29841521	AT1TE97605
Chr1:29842771-29844638	AT1G79340.1
Chr1:29844633-29853414	AT1G79350.1
Chr1:29854038-29855821	AT1G79360.1
Chr1:29857934-29860163	AT1G79370.1
Chr1:29860491-29863316	AT1G79380.1
Chr1:29863225-29864321	AT1G79390.1
Chr1:29864992-29867840	AT1G79400.1
Chr1:29867880-29869633	AT1G79410.1
Chr1:29871458-29874315	AT1G79420.1
Chr1:29875522-29875811	AT1TE97710
Chr1:29877228-29879206	AT1G79430.2
Chr1:29879675-29880024	AT1TE97720
Chr1:29882210-29887412	AT1G79440.1
Chr1:29887692-29890145	AT1G79450.1
Chr1:29890392-29894587	AT1G79460.1
Chr1:29894598-29897166	AT1G79470.1
Chr1:29897727-29899604	AT1G79480.1
Chr1:29900381-29900453	AT1TE97790
Chr1:29900456-29903189	AT1G79490.1
Chr1:29903420-29909437	AT1G79500.5
Chr1:29908013-29909332	AT1G79510.1
Chr1:29912251-29914615	AT1G79520.2
Chr1:29915662-29916410	AT1G79529.1
Chr1:29915902-29919234	AT1G79530.1
Chr1:29920083-29922676	AT1G79540.1
Chr1:29924023-29926442	AT1G79550.1
Chr1:29926794-29932585	AT1G79560.1
Chr1:29932578-29938856	AT1G79570.1
Chr1:29940896-29943442	AT1G79580.1
Chr1:29946296-29948565	AT1G79590.1
Chr1:29949925-29952690	AT1G79600.1
Chr1:29952873-29957189	AT1G79610.1
Chr1:29957562-29962305	AT1G79620.1
Chr1:29962730-29965460	AT1G79630.1
Chr1:29966913-29971599	AT1G79640.1
Chr1:29972108-29975281	AT1G79650.4
Chr1:29975863-29976773	AT1G79660.1
Chr1:29976725-29979350	AT1G79670.1
Chr1:29979973-29982773	AT1G79680.1
Chr1:29983277-29984079	AT1TE98060
Chr1:29984080-29984291	AT1TE98065
Chr1:29984292-29984380	AT1TE98070
Chr1:29984485-29984711	AT1TE98075
Chr1:29985176-29990388	AT1G79690.1
Chr1:29990336-29993724	AT1G79700.2
Chr1:29992190-29992347	AT1TE98090
Chr1:29992348-29992610	AT1TE98095
Chr1:29992611-29992649	AT1TE98100
Chr1:29995116-29998058	AT1G79710.1
Chr1:29997127-29999045	AT1G79720.1
Chr1:29999496-29999912	AT1TE98120
Chr1:30000538-30004005	AT1G79730.1
Chr1:30004367-30007020	AT1G79740.1
Chr1:30005634-30006120	AT1TE98130
Chr1:30007326-30011393	AT1G79750.1
Chr1:30012048-30013495	AT1G79760.1
Chr1:30014361-30015078	AT1G79770.1
Chr1:30015873-30016856	AT1G79780.1
Chr1:30016902-30018231	AT1G79790.1
Chr1:30018549-30019217	AT1G79800.1
Chr1:30019744-30022486	AT1G79810.1
Chr1:30022351-30027377	AT1G79820.1
Chr1:30027670-30033901	AT1G79830.4
Chr1:30036956-30041440	AT1G79840.2
Chr1:30041243-30041952	AT1G79850.1
Chr1:30042092-30044175	AT1G79860.1
Chr1:30044746-30046027	AT1G79870.1
Chr1:30046028-30048378	AT1G79880.1
Chr1:30048655-30052203	AT1G79890.1
Chr1:30052297-30053936	AT1G79900.1
Chr1:30054884-30057170	AT1G79910.1
Chr1:30057220-30058657	AT1G79915.1
Chr1:30058632-30062744	AT1G79920.1
Chr1:30063478-30067547	AT1G79930.1
Chr1:30068690-30069495	AT1TE98340
Chr1:30069550-30073332	AT1G79940.1
Chr1:30073580-30079537	AT1G79950.1
Chr1:30079665-30080549	AT1G79960.1
Chr1:30082078-30083894	AT1G79970.1
Chr1:30083996-30084069	AT1G79980.1
Chr1:30084114-30092238	AT1G79990.1
Chr1:30092924-30097165	AT1G80000.1
Chr1:30097401-30099846	AT1G80010.1
Chr1:30100473-30103899	AT1G80020.1
Chr1:30100473-30103899	AT1TE98440
Chr1:30104966-30108966	AT1G80030.1
Chr1:30109147-30111280	AT1G80040.3
Chr1:30111514-30113324	AT1G80050.1
Chr1:30116209-30117588	AT1G80060.1
Chr1:30118052-30127811	AT1G80070.1
Chr1:30128005-30129591	AT1G80080.1
Chr1:30130104-30131940	AT1G80090.1
Chr1:30133726-30134735	AT1G80100.1
Chr1:30135381-30136956	AT1G80110.1
Chr1:30139101-30140204	AT1G80120.1
Chr1:30140961-30142646	AT1G80130.1
Chr1:30143628-30144255	AT1G80133.1
Chr1:30146611-30148180	AT1G80140.1
Chr1:30148388-30150517	AT1G80150.1
Chr1:30151003-30152190	AT1G80160.1
Chr1:30153408-30155713	AT1G80170.1
Chr1:30156826-30157584	AT1G80180.1
Chr1:30159077-30161654	AT1G80190.1
Chr1:30162034-30162999	AT1G80200.1
Chr1:30162835-30165755	AT1G80210.1
Chr1:30165873-30169345	AT1TE98640
Chr1:30167012-30167041	AT1TE98645
Chr1:30167839-30168606	AT1G80220.1
Chr1:30169346-30169559	AT1TE98650
Chr1:30169456-30171101	AT1G80230.1
Chr1:30170932-30171028	AT1TE98655
Chr1:30171357-30172839	AT1G80240.1
Chr1:30174014-30174085	AT1G80250.1
Chr1:30174178-30175542	AT1G80245.1
Chr1:30175785-30180681	AT1G80260.1
Chr1:30176459-30176635	AT1TE98665
Chr1:30180988-30183507	AT1G80270.1
Chr1:30183541-30186586	AT1G80280.1
Chr1:30188364-30189574	AT1G80290.2
Chr1:30191856-30194519	AT1G80300.1
Chr1:30194618-30196554	AT1G80310.1
Chr1:30196605-30197933	AT1G80325.1
Chr1:30196666-30198074	AT1G80325.2
Chr1:30196782-30197896	AT1G80320.1
Chr1:30198061-30199537	AT1G80330.1
Chr1:30200693-30202200	AT1G80340.1
Chr1:30205315-30208226	AT1G80350.1
Chr1:30208499-30210803	AT1G80360.1
Chr1:30213705-30216861	AT1G80370.1
Chr1:30217219-30220004	AT1G80380.2
Chr1:30220572-30221478	AT1TE98800
Chr1:30221780-30222702	AT1G80390.1
Chr1:30225176-30227575	AT1G80400.1
Chr1:30227485-30234985	AT1G80410.2
Chr1:30235220-30237716	AT1G80420.1
Chr1:30237784-30237865	AT1G80430.1
Chr1:30241607-30243071	AT1G80440.1
Chr1:30243930-30244783	AT1G80450.1
Chr1:30245754-30245944	AT1TE98880
Chr1:30246768-30249253	AT1G80460.1
Chr1:30250487-30250620	AT1TE98890
Chr1:30250621-30250699	AT1TE98895
Chr1:30250700-30250908	AT1TE98900
Chr1:30250909-30250977	AT1TE98905
Chr1:30250978-30253348	AT1TE98910
Chr1:30253349-30253650	AT1TE98915
Chr1:30253651-30255513	AT1TE98920
Chr1:30255514-30255811	AT1TE98925
Chr1:30255812-30255948	AT1TE98930
