AGI,mRNA,description
AT1G73650,AT1G73650.3,3-oxo-5-alpha-steroid 4-dehydrogenase (DUF1295) [Source:NCBI gene (formerly Entrezgene);Acc:843699]
AT1G73655,AT1G73655.1,FKBP-like peptidyl-prolyl cis-trans isomerase family protein [Source:NCBI gene (formerly Entrezgene);Acc:843700]
AT1G73660,AT1G73660.1,protein tyrosine kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:843701]
AT1G73670,AT1G73670.1,MAP kinase 15 [Source:NCBI gene (formerly Entrezgene);Acc:843702]
AT1G73680,AT1G73680.2,alpha dioxygenase [Source:NCBI gene (formerly Entrezgene);Acc:843703]
AT1G73687,AT1G73687.1,ath-MIR159a [Source:miRBase;Acc:MI0000189]
AT1G73690,AT1G73690.1,cyclin-dependent kinase D1;1 [Source:NCBI gene (formerly Entrezgene);Acc:843704]
AT1G73700,AT1G73700.1,MATE efflux family protein [Source:NCBI gene (formerly Entrezgene);Acc:843705]
AT1G73710,AT1G73710.1,Pentatricopeptide repeat (PPR) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843706]
AT1G73720,AT1G73720.1,transducin family protein / WD-40 repeat family protein [Source:NCBI gene (formerly Entrezgene);Acc:843707]
AT1G73730,AT1G73730.1,ETHYLENE-INSENSITIVE3-like 3 [Source:NCBI gene (formerly Entrezgene);Acc:843708]
AT1G73740,AT1G73740.1,UDP-Glycosyltransferase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843709]
AT1G73750,AT1G73750.1,alpha/beta hydrolase family protein [Source:NCBI gene (formerly Entrezgene);Acc:843710]
AT1G73760,AT1G73760.1,RING/U-box superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843711]
AT1G73770,AT1G73770.1,coiled-coil protein [Source:NCBI gene (formerly Entrezgene);Acc:843712]
AT1G73780,AT1G73780.1,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:28717421]
AT1G73790,AT1G73790.1,mitotic-spindle organizing 1B-like protein (DUF3743) [Source:NCBI gene (formerly Entrezgene);Acc:843714]
AT1G73805,AT1G73805.1,Calmodulin binding protein-like protein [Source:NCBI gene (formerly Entrezgene);Acc:843716]
AT1G73810,AT1G73810.1,"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein [Source:NCBI gene (formerly Entrezgene);Acc:843717]"
AT1G73820,AT1G73820.1,Ssu72-like family protein [Source:NCBI gene (formerly Entrezgene);Acc:843718]
AT1G73830,AT1G73830.1,BR enhanced expression 3 [Source:NCBI gene (formerly Entrezgene);Acc:843719]
AT1G73840,AT1G73840.1,hydroxyproline-rich glycoprotein family protein [Source:NCBI gene (formerly Entrezgene);Acc:843720]
AT1G73850,AT1G73850.1,DNA ligase (DUF1666) [Source:NCBI gene (formerly Entrezgene);Acc:843721]
AT1G73860,AT1G73860.1,P-loop containing nucleoside triphosphate hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843722]
AT1G73870,AT1G73870.1,B-box type zinc finger protein with CCT domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:843723]
AT1G73875,AT1G73875.1,DNAse I-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843724]
AT1G73880,AT1G73880.1,UDP-glucosyl transferase 89B1 [Source:NCBI gene (formerly Entrezgene);Acc:843725]
AT1G73885,AT1G73885.1,AT-rich interactive domain protein [Source:NCBI gene (formerly Entrezgene);Acc:843726]
AT1G73890,AT1G73890.1,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843727]
AT1G73900,AT1G73900.1,""
AT1G73910,AT1G73910.1,actin-related proteins 4A [Source:NCBI gene (formerly Entrezgene);Acc:843728]
AT1G73920,AT1G73920.1,alpha/beta-Hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843729]
AT1G73930,AT1G73930.1,polarity axis stabilization protein [Source:NCBI gene (formerly Entrezgene);Acc:843730]
AT1G73940,AT1G73940.1,tumor necrosis factor receptor family protein [Source:NCBI gene (formerly Entrezgene);Acc:843731]
AT1G73950,AT1G73950.1,Transmembrane Fragile-X-F-associated protein [Source:NCBI gene (formerly Entrezgene);Acc:843732]
AT1G73960,AT1G73960.1,TBP-associated factor 2 [Source:NCBI gene (formerly Entrezgene);Acc:843733]
AT1G73965,AT1G73965.1,CLAVATA3/ESR-RELATED 13 [Source:NCBI gene (formerly Entrezgene);Acc:843734]
AT1G73970,AT1G73970.1,obscurin-like protein [Source:NCBI gene (formerly Entrezgene);Acc:843735]
AT1G73980,AT1G73980.1,Phosphoribulokinase / Uridine kinase family [Source:NCBI gene (formerly Entrezgene);Acc:843736]
AT1G73990,AT1G73990.1,signal peptide peptidase [Source:NCBI gene (formerly Entrezgene);Acc:843737]
AT1G74000,AT1G74000.1,strictosidine synthase 3 [Source:NCBI gene (formerly Entrezgene);Acc:843738]
AT1G74010,AT1G74010.1,Calcium-dependent phosphotriesterase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843739]
AT1G74020,AT1G74020.1,strictosidine synthase 2 [Source:NCBI gene (formerly Entrezgene);Acc:843740]
AT1G74030,AT1G74030.1,enolase 1 [Source:NCBI gene (formerly Entrezgene);Acc:843741]
AT1G74040,AT1G74040.1,2-isopropylmalate synthase 1 [Source:NCBI gene (formerly Entrezgene);Acc:843742]
AT1G74045,AT1G74045.1,tetraspanin-17 protein [Source:NCBI gene (formerly Entrezgene);Acc:843743]
AT1G74050,AT1G74050.1,Ribosomal protein L6 family protein [Source:NCBI gene (formerly Entrezgene);Acc:843744]
AT1G74055,AT1G74055.1,transmembrane protein [Source:NCBI gene (formerly Entrezgene);Acc:843745]
AT1G74060,AT1G74060.1,Ribosomal protein L6 family protein [Source:NCBI gene (formerly Entrezgene);Acc:843746]
AT1G74070,AT1G74070.1,Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein [Source:NCBI gene (formerly Entrezgene);Acc:843747]
AT1G74080,AT1G74080.1,myb domain protein 122 [Source:NCBI gene (formerly Entrezgene);Acc:843748]
AT1G74088,AT1G74088.2,galacturonosyltransferase [Source:NCBI gene (formerly Entrezgene);Acc:5007847]
AT1G74090,AT1G74090.1,desulfo-glucosinolate sulfotransferase 18 [Source:NCBI gene (formerly Entrezgene);Acc:843749]
AT1G74100,AT1G74100.1,sulfotransferase 16 [Source:NCBI gene (formerly Entrezgene);Acc:843750]
AT1G74110,AT1G74110.1,"cytochrome P450, family 78, subfamily A, polypeptide 10 [Source:NCBI gene (formerly Entrezgene);Acc:843751]"
AT1G74120,AT1G74120.1,Mitochondrial transcription termination factor family protein [Source:NCBI gene (formerly Entrezgene);Acc:843752]
AT1G74130,AT1G74130.1,Rhomboid-related intramembrane serine protease family protein [Source:NCBI gene (formerly Entrezgene);Acc:843753]
AT1G74140,AT1G74140.5,Rhomboid-related intramembrane serine protease family protein [Source:NCBI gene (formerly Entrezgene);Acc:843754]
AT1G74150,AT1G74150.1,Galactose oxidase/kelch repeat superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843755]
AT1G74160,AT1G74160.1,LONGIFOLIA protein [Source:NCBI gene (formerly Entrezgene);Acc:843756]
AT1G74170,AT1G74170.1,receptor like protein 13 [Source:NCBI gene (formerly Entrezgene);Acc:843757]
AT1G74180,AT1G74180.1,receptor like protein 14 [Source:NCBI gene (formerly Entrezgene);Acc:843758]
AT1G74190,AT1G74190.1,receptor like protein 15 [Source:NCBI gene (formerly Entrezgene);Acc:843759]
AT1G74200,AT1G74200.1,receptor like protein 16 [Source:NCBI gene (formerly Entrezgene);Acc:843760]
AT1G74205,AT1G74205.1,ncRNA [Source:NCBI gene (formerly Entrezgene);Acc:28717423]
AT1G74210,AT1G74210.1,PLC-like phosphodiesterases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843761]
AT1G74220,AT1G74220.1,homeobox-like protein [Source:NCBI gene (formerly Entrezgene);Acc:843762]
AT1G74230,AT1G74230.1,glycine-rich RNA-binding protein 5 [Source:NCBI gene (formerly Entrezgene);Acc:843763]
AT1G74240,AT1G74240.1,Mitochondrial substrate carrier family protein [Source:NCBI gene (formerly Entrezgene);Acc:843764]
AT1G74250,AT1G74250.1,DNAJ heat shock N-terminal domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:843765]
AT1G74260,AT1G74260.1,purine biosynthesis 4 [Source:NCBI gene (formerly Entrezgene);Acc:843766]
AT1G74270,AT1G74270.1,Ribosomal protein L35Ae family protein [Source:NCBI gene (formerly Entrezgene);Acc:843767]
AT1G74280,AT1G74280.1,alpha/beta-Hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843768]
AT1G74290,AT1G74290.1,alpha/beta-Hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843769]
AT1G74300,AT1G74300.1,alpha/beta-Hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843770]
AT1G74310,AT1G74310.1,heat shock protein 101 [Source:NCBI gene (formerly Entrezgene);Acc:843771]
AT1G74320,AT1G74320.1,Protein kinase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843772]
AT1G74330,AT1G74330.1,Protein kinase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843774]
AT1G74340,AT1G74340.1,dolichol phosphate-mannose biosynthesis regulatory protein-like protein [Source:NCBI gene (formerly Entrezgene);Acc:843775]
AT1G74350,AT1G74350.1,"Intron maturase, type II family protein [Source:NCBI gene (formerly Entrezgene);Acc:843776]"
AT1G74360,AT1G74360.1,Leucine-rich repeat protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:843777]
AT1G74370,AT1G74370.1,RING/U-box superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843778]
AT1G74380,AT1G74380.1,xyloglucan xylosyltransferase 5 [Source:NCBI gene (formerly Entrezgene);Acc:843779]
AT1G74390,AT1G74390.1,"Polynucleotidyl transferase, ribonuclease H-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843780]"
AT1G74400,AT1G74400.1,Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843781]
AT1G74410,AT1G74410.1,RING/U-box superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843782]
AT1G74420,AT1G74420.2,fucosyltransferase 3 [Source:NCBI gene (formerly Entrezgene);Acc:843783]
AT1G74430,AT1G74430.1,myb domain protein 95 [Source:NCBI gene (formerly Entrezgene);Acc:843784]
AT1G74440,AT1G74440.1,"ER membrane protein, putative (DUF962) [Source:NCBI gene (formerly Entrezgene);Acc:843785]"
AT1G74448,AT1G74448.1,
AT1G74450,AT1G74450.1,BPS1-like protein (DUF793) [Source:NCBI gene (formerly Entrezgene);Acc:843786]
AT1G74453,AT1G74453.1,ncRNA [Source:NCBI gene (formerly Entrezgene);Acc:3767696]
AT1G74456,AT1G74456.1,ncRNA [Source:NCBI gene (formerly Entrezgene);Acc:3767697]
AT1G74457,AT1G74457.1,
AT1G74458,AT1G74458.1,transmembrane protein [Source:NCBI gene (formerly Entrezgene);Acc:5007848]
AT1G74460,AT1G74460.1,GDSL-like Lipase/Acylhydrolase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843787]
AT1G74470,AT1G74470.1,Pyridine nucleotide-disulfide oxidoreductase family protein [Source:NCBI gene (formerly Entrezgene);Acc:843788]
AT1G74480,AT1G74480.1,RWP-RK domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:843789]
AT1G74490,AT1G74490.1,Protein kinase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843790]
AT1G74500,AT1G74500.1,activation-tagged BRI1(brassinosteroid-insensitive 1)-suppressor 1 [Source:NCBI gene (formerly Entrezgene);Acc:843791]
AT1G74510,AT1G74510.2,Galactose oxidase/kelch repeat superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843792]
AT1G74520,AT1G74520.1,HVA22 homologue A [Source:NCBI gene (formerly Entrezgene);Acc:843793]
AT1G74530,AT1G74530.3,transmembrane protein [Source:NCBI gene (formerly Entrezgene);Acc:843794]
AT1G74540,AT1G74540.1,"cytochrome P450, family 98, subfamily A, polypeptide 8 [Source:NCBI gene (formerly Entrezgene);Acc:843795]"
AT1G74545,AT1G74545.1,ncRNA [Source:NCBI gene (formerly Entrezgene);Acc:7922486]
AT1G74550,AT1G74550.1,"cytochrome P450, family 98, subfamily A, polypeptide 9 [Source:NCBI gene (formerly Entrezgene);Acc:843796]"
AT1G74560,AT1G74560.3,NAP1-related protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:843797]
AT1G74570,AT1G74570.1,""
AT1G74580,AT1G74580.1,Pentatricopeptide repeat (PPR) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843798]
AT1G74590,AT1G74590.1,glutathione S-transferase TAU 10 [Source:NCBI gene (formerly Entrezgene);Acc:843799]
AT1G74600,AT1G74600.1,pentatricopeptide (PPR) repeat-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:843800]
AT1G74610,AT1G74610.1,""
AT1G74620,AT1G74620.1,RING/U-box superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843801]
AT1G74630,AT1G74630.1,Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843802]
AT1G74640,AT1G74640.1,alpha/beta-Hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843803]
AT1G74650,AT1G74650.1,myb domain protein 31 [Source:NCBI gene (formerly Entrezgene);Acc:843804]
AT1G74660,AT1G74660.1,mini zinc finger 1 [Source:NCBI gene (formerly Entrezgene);Acc:843805]
AT1G74670,AT1G74670.1,Gibberellin-regulated family protein [Source:NCBI gene (formerly Entrezgene);Acc:843806]
AT1G74680,AT1G74680.1,Exostosin family protein [Source:NCBI gene (formerly Entrezgene);Acc:843807]
AT1G74690,AT1G74690.1,IQ-domain 31 [Source:NCBI gene (formerly Entrezgene);Acc:843808]
AT1G74700,AT1G74700.1,tRNAse Z1 [Source:NCBI gene (formerly Entrezgene);Acc:843809]
AT1G74710,AT1G74710.2,ADC synthase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843810]
AT1G74720,AT1G74720.1,C2 calcium/lipid-binding plant phosphoribosyltransferase family protein [Source:NCBI gene (formerly Entrezgene);Acc:843811]
AT1G74730,AT1G74730.1,"transmembrane protein, putative (DUF1118) [Source:NCBI gene (formerly Entrezgene);Acc:843812]"
AT1G74740,AT1G74740.1,calcium-dependent protein kinase 30 [Source:NCBI gene (formerly Entrezgene);Acc:843813]
AT1G74750,AT1G74750.1,Pentatricopeptide repeat (PPR) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843814]
AT1G74770,AT1G74770.1,zinc ion binding protein [Source:NCBI gene (formerly Entrezgene);Acc:843816]
AT1G74780,AT1G74780.1,Nodulin-like / Major Facilitator Superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843817]
AT1G74790,AT1G74790.1,catalytics [Source:NCBI gene (formerly Entrezgene);Acc:843818]
AT1G74800,AT1G74800.1,Galactosyltransferase family protein [Source:NCBI gene (formerly Entrezgene);Acc:843819]
AT1G74810,AT1G74810.1,HCO3- transporter family [Source:NCBI gene (formerly Entrezgene);Acc:843820]
AT1G74820,AT1G74820.1,RmlC-like cupins superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843821]
AT1G74830,AT1G74830.1,"myosin-binding protein, putative (Protein of unknown function, DUF593) [Source:NCBI gene (formerly Entrezgene);Acc:843822]"
AT1G74840,AT1G74840.1,Homeodomain-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843823]
AT1G74850,AT1G74850.1,plastid transcriptionally active 2 [Source:NCBI gene (formerly Entrezgene);Acc:843824]
AT1G74860,AT1G74860.1,""
AT1G74870,AT1G74870.1,RING/U-box superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843826]
AT1G74875,AT1G74875.1,F-box protein [Source:NCBI gene (formerly Entrezgene);Acc:7922311]
AT1G74880,AT1G74880.1,NAD(P)H:plastoquinone dehydrogenase complex subunit O [Source:NCBI gene (formerly Entrezgene);Acc:843827]
AT1G74890,AT1G74890.1,response regulator 15 [Source:NCBI gene (formerly Entrezgene);Acc:843828]
AT1G74900,AT1G74900.1,Pentatricopeptide repeat (PPR) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843829]
AT1G74910,AT1G74910.1,ADP-glucose pyrophosphorylase family protein [Source:NCBI gene (formerly Entrezgene);Acc:843830]
AT1G74920,AT1G74920.1,aldehyde dehydrogenase 10A8 [Source:NCBI gene (formerly Entrezgene);Acc:843831]
AT1G74929,AT1G74929.1,""
AT1G74930,AT1G74930.1,Integrase-type DNA-binding superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843832]
AT1G74940,AT1G74940.1,"cyclin-dependent kinase, putative (DUF581) [Source:NCBI gene (formerly Entrezgene);Acc:843833]"
AT1G74950,AT1G74950.1,TIFY domain/Divergent CCT motif family protein [Source:NCBI gene (formerly Entrezgene);Acc:843834]
AT1G74960,AT1G74960.2,fatty acid biosynthesis 1 [Source:NCBI gene (formerly Entrezgene);Acc:843835]
AT1G74970,AT1G74970.1,ribosomal protein S9 [Source:NCBI gene (formerly Entrezgene);Acc:843836]
AT1G74990,AT1G74990.1,RING/U-box superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843837]
AT1G75000,AT1G75000.1,GNS1/SUR4 membrane protein family [Source:NCBI gene (formerly Entrezgene);Acc:843838]
AT1G75010,AT1G75010.1,GTP binding protein [Source:NCBI gene (formerly Entrezgene);Acc:843839]
AT1G75020,AT1G75020.1,lysophosphatidyl acyltransferase 4 [Source:NCBI gene (formerly Entrezgene);Acc:843840]
AT1G75030,AT1G75030.1,thaumatin-like protein 3 [Source:NCBI gene (formerly Entrezgene);Acc:843841]
AT1G75040,AT1G75040.1,pathosis-related protein 5 [Source:NCBI gene (formerly Entrezgene);Acc:843842]
AT1G75050,AT1G75050.1,Pathosis-related thaumatin superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843843]
AT1G75060,AT1G75060.1,histone deacetylase complex subunit [Source:NCBI gene (formerly Entrezgene);Acc:843844]
AT1G75070,AT1G75070.1,""
AT1G75080,AT1G75080.1,Brassinosteroid signaling positive regulator (BZR1) family protein [Source:NCBI gene (formerly Entrezgene);Acc:843845]
AT1G75090,AT1G75090.1,DNA glycosylase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843846]
AT1G75100,AT1G75100.1,J-domain protein required for chloroplast accumulation response 1 [Source:NCBI gene (formerly Entrezgene);Acc:843847]
AT1G75110,AT1G75110.1,Nucleotide-diphospho-sugar transferase family protein [Source:NCBI gene (formerly Entrezgene);Acc:843848]
AT1G75120,AT1G75120.1,Nucleotide-diphospho-sugar transferase family protein [Source:NCBI gene (formerly Entrezgene);Acc:843849]
AT1G75130,AT1G75130.1,"cytochrome P450, family 721, subfamily A, polypeptide 1 [Source:NCBI gene (formerly Entrezgene);Acc:843850]"
AT1G75140,AT1G75140.1,membrane protein [Source:NCBI gene (formerly Entrezgene);Acc:843851]
AT1G75150,AT1G75150.1,DNA ligase-like protein [Source:NCBI gene (formerly Entrezgene);Acc:843852]
AT1G75160,AT1G75160.1,DUF620 family protein (DUF620) [Source:NCBI gene (formerly Entrezgene);Acc:843853]
AT1G75163,AT1G75163.1,ncRNA [Source:NCBI gene (formerly Entrezgene);Acc:3767701]
AT1G75166,AT1G75166.1,ncRNA [Source:NCBI gene (formerly Entrezgene);Acc:3767702]
AT1G75170,AT1G75170.1,Sec14p-like phosphatidylinositol transfer family protein [Source:NCBI gene (formerly Entrezgene);Acc:843854]
AT1G75180,AT1G75180.1,Erythronate-4-phosphate dehydrogenase family protein [Source:NCBI gene (formerly Entrezgene);Acc:843855]
AT1G75190,AT1G75190.1,""
AT1G75200,AT1G75200.1,flavodoxin family protein / radical SAM domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:843857]
AT1G75210,AT1G75210.1,"HAD-superfamily hydrolase, subfamily IG, 5'-nucleotidase [Source:NCBI gene (formerly Entrezgene);Acc:843858]"
AT1G75220,AT1G75220.1,Major facilitator superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843859]
AT1G75230,AT1G75230.2,DNA glycosylase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843860]
AT1G75240,AT1G75240.1,homeobox protein 33 [Source:NCBI gene (formerly Entrezgene);Acc:843861]
AT1G75250,AT1G75250.1,RAD-like 6 [Source:NCBI gene (formerly Entrezgene);Acc:843862]
AT1G75260,AT1G75260.1,"oxidoreductases, acting on NADH or NADPH [Source:NCBI gene (formerly Entrezgene);Acc:843863]"
AT1G75261,AT1G75261.1,
AT1G75270,AT1G75270.1,dehydroascorbate reductase 2 [Source:NCBI gene (formerly Entrezgene);Acc:843864]
AT1G75280,AT1G75280.1,NmrA-like negative transcriptional regulator family protein [Source:NCBI gene (formerly Entrezgene);Acc:843865]
AT1G75290,AT1G75290.1,NAD(P)-binding Rossmann-fold superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843866]
AT1G75295,AT1G75295.1,ncRNA [Source:NCBI gene (formerly Entrezgene);Acc:5007849]
AT1G75300,AT1G75300.1,NmrA-like negative transcriptional regulator family protein [Source:NCBI gene (formerly Entrezgene);Acc:843867]
AT1G75310,AT1G75310.1,auxin-like 1 protein [Source:NCBI gene (formerly Entrezgene);Acc:843868]
AT1G75330,AT1G75330.1,ornithine carbamoyltransferase [Source:NCBI gene (formerly Entrezgene);Acc:843869]
AT1G75335,AT1G75335.1,nucleolar-like protein [Source:NCBI gene (formerly Entrezgene);Acc:6240462]
AT1G75340,AT1G75340.1,Zinc finger C-x8-C-x5-C-x3-H type family protein [Source:NCBI gene (formerly Entrezgene);Acc:843870]
AT1G75350,AT1G75350.1,Ribosomal protein L31 [Source:NCBI gene (formerly Entrezgene);Acc:843871]
AT1G75360,AT1G75360.1,transmembrane protein [Source:NCBI gene (formerly Entrezgene);Acc:843872]
AT1G75370,AT1G75370.2,Sec14p-like phosphatidylinositol transfer family protein [Source:NCBI gene (formerly Entrezgene);Acc:843873]
AT1G75380,AT1G75380.1,bifunctional nuclease in basal defense response 1 [Source:NCBI gene (formerly Entrezgene);Acc:843874]
AT1G75388,AT1G75388.1,
AT1G75390,AT1G75390.1,basic leucine-zipper 44 [Source:NCBI gene (formerly Entrezgene);Acc:843875]
AT1G75394,AT1G75394.1,
AT1G75400,AT1G75400.1,RING/U-box superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843876]
AT1G75410,AT1G75410.1,BEL1-like homeodomain 3 [Source:NCBI gene (formerly Entrezgene);Acc:843877]
AT1G75420,AT1G75420.1,UDP-Glycosyltransferase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843878]
AT1G75430,AT1G75430.1,BEL1-like homeodomain 11 [Source:NCBI gene (formerly Entrezgene);Acc:843879]
AT1G75440,AT1G75440.1,ubiquitin-conjugating enzyme 16 [Source:NCBI gene (formerly Entrezgene);Acc:843880]
AT1G75450,AT1G75450.1,cytokinin oxidase 5 [Source:NCBI gene (formerly Entrezgene);Acc:843881]
AT1G75460,AT1G75460.1,ATP-dependent protease La (LON) domain protein [Source:NCBI gene (formerly Entrezgene);Acc:843882]
AT1G75470,AT1G75470.1,purine permease [Source:NCBI gene (formerly Entrezgene);Acc:843883]
AT1G75480,AT1G75480.1,
AT1G75490,AT1G75490.1,Integrase-type DNA-binding superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843885]
AT1G75500,AT1G75500.1,Walls Are Thin 1 [Source:NCBI gene (formerly Entrezgene);Acc:843886]
AT1G75510,AT1G75510.1,"Transcription initiation factor IIF, beta subunit [Source:NCBI gene (formerly Entrezgene);Acc:843887]"
AT1G75520,AT1G75520.1,SHI-related sequence 5 [Source:NCBI gene (formerly Entrezgene);Acc:843888]
AT1G75530,AT1G75530.1,Forkhead-associated (FHA) domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:843889]
AT1G75540,AT1G75540.1,salt tolerance homolog2 [Source:NCBI gene (formerly Entrezgene);Acc:843890]
AT1G75550,AT1G75550.1,glycine-rich protein [Source:NCBI gene (formerly Entrezgene);Acc:843891]
AT1G75560,AT1G75560.1,zinc knuckle (CCHC-type) family protein [Source:NCBI gene (formerly Entrezgene);Acc:843892]
AT1G75570,AT1G75570.1,""
AT1G75580,AT1G75580.1,SAUR-like auxin-responsive protein family [Source:NCBI gene (formerly Entrezgene);Acc:843893]
AT1G75590,AT1G75590.1,SAUR-like auxin-responsive protein family [Source:NCBI gene (formerly Entrezgene);Acc:843894]
AT1G75600,AT1G75600.1,Histone superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843895]
AT1G75610,AT1G75610.1,
AT1G75620,AT1G75620.1,glyoxal oxidase-related protein [Source:NCBI gene (formerly Entrezgene);Acc:843897]
AT1G75630,AT1G75630.2,vacuolar H+-pumping ATPase 16 kDa proteolipid subunit 4 [Source:NCBI gene (formerly Entrezgene);Acc:843898]
AT1G75640,AT1G75640.1,Leucine-rich receptor-like protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:843899]
AT1G75650,AT1G75650.1,""
AT1G75660,AT1G75660.1,5'-3' exoribonuclease 3 [Source:NCBI gene (formerly Entrezgene);Acc:843900]
AT1G75670,AT1G75670.1,DNA-directed RNA polymerase [Source:NCBI gene (formerly Entrezgene);Acc:843901]
AT1G75680,AT1G75680.1,glycosyl hydrolase 9B7 [Source:NCBI gene (formerly Entrezgene);Acc:843902]
AT1G75690,AT1G75690.1,DnaJ/Hsp40 cysteine-rich domain superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843903]
AT1G75700,AT1G75700.1,HVA22-like protein G [Source:NCBI gene (formerly Entrezgene);Acc:843904]
AT1G75710,AT1G75710.1,C2H2-like zinc finger protein [Source:NCBI gene (formerly Entrezgene);Acc:843905]
AT1G75717,AT1G75717.1,""
AT1G75720,AT1G75720.1,WEB family protein (DUF827) [Source:NCBI gene (formerly Entrezgene);Acc:843906]
AT1G75730,AT1G75730.1,""
AT1G75740,AT1G75740.1,""
AT1G75750,AT1G75750.1,GAST1 protein homolog 1 [Source:NCBI gene (formerly Entrezgene);Acc:843908]
AT1G75760,AT1G75760.1,ER lumen protein retaining receptor family protein [Source:NCBI gene (formerly Entrezgene);Acc:843909]
AT1G75770,AT1G75770.1,""
AT1G75780,AT1G75780.1,tubulin beta-1 chain [Source:NCBI gene (formerly Entrezgene);Acc:843911]
AT1G75790,AT1G75790.1,SKU5 similar 18 [Source:NCBI gene (formerly Entrezgene);Acc:843912]
AT1G75800,AT1G75800.1,Pathosis-related thaumatin superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843913]
AT1G75810,AT1G75810.1,""
AT1G75820,AT1G75820.1,Leucine-rich receptor-like protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:843915]
AT1G75830,AT1G75830.1,low-molecular-weight cysteine-rich 67 [Source:NCBI gene (formerly Entrezgene);Acc:843916]
AT1G75840,AT1G75840.1,RAC-like GTP binding protein 5 [Source:NCBI gene (formerly Entrezgene);Acc:843917]
AT1G75850,AT1G75850.1,VPS35 homolog B [Source:NCBI gene (formerly Entrezgene);Acc:843918]
AT1G75860,AT1G75860.1,DNA ligase [Source:NCBI gene (formerly Entrezgene);Acc:843919]
AT1G75870,AT1G75870.1,""
AT1G75880,AT1G75880.1,SGNH hydrolase-type esterase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843921]
